sampleID;class
4_Blank;Process_Blank
109_QC;Quality_Control
110_QC;Quality_Control
23_QC;Quality_Control
29_QC;Quality_Control
35_QC;Quality_Control
50_QC;Quality_Control
56_QC;Quality_Control
62_QC;Quality_Control
7_QC;Quality_Control
77_QC;Quality_Control
8_QC;Quality_Control
83_QC;Quality_Control
90_QC;Quality_Control
96_QC;Quality_Control
10_GC_Neg;Samples
100_MB_CPos2;Samples
101_GC_Neg;Samples
102_GC_0;Samples
103_GC_Pos;Samples
104_GC_2;Samples
105_GC_A;Samples
106_GC_1;Samples
107_GC_C;Samples
108_GC_B;Samples
11_GC_0;Samples
12_GC_Pos;Samples
13_GC_2;Samples
14_GC_A;Samples
15_GC_1;Samples
16_GC_C;Samples
17_GC_B;Samples
18_MB_CNeg0;Samples
19_MB_CNeg2;Samples
20_MB_APos2;Samples
21_MB_BPos1;Samples
22_MB_APos1;Samples
24_MB_ANeg0;Samples
25_MB_CPos2;Samples
26_MB_BPos0;Samples
27_MB_CNeg0;Samples
28_MB_APos2;Samples
30_MB_ANeg1;Samples
31_MB_APos2;Samples
32_MB_APos0;Samples
33_MB_CNeg0;Samples
34_MB_BPos0;Samples
37_GC_Neg;Samples
38_GC_0;Samples
39_GC_Pos;Samples
40_GC_2;Samples
41_GC_A;Samples
42_GC_1;Samples
43_GC_C;Samples
44_GC_B;Samples
45_MB_APos0;Samples
46_MB_BPos2;Samples
47_MB_ANeg1;Samples
48_MB_CNeg2;Samples
49_MB_CPos0;Samples
51_MB_CNeg2;Samples
52_MB_CNeg1;Samples
53_MB_BPos1;Samples
54_MB_APos1;Samples
55_MB_BNeg0;Samples
57_MB_APos1;Samples
58_MB_ANeg2;Samples
59_MB_BPos2;Samples
60_MB_CPos2;Samples
61_MB_BNeg1;Samples
64_GC_Neg;Samples
65_GC_0;Samples
66_GC_Pos;Samples
67_GC_2;Samples
68_GC_A;Samples
69_GC_1;Samples
70_GC_C;Samples
71_GC_B;Samples
72_MB_ANeg2;Samples
73_MB_BPos2;Samples
74_MB_CPos0;Samples
75_MB_BNeg1;Samples
76_MB_ANeg1;Samples
78_MB_APos0;Samples
79_MB_BNeg1;Samples
80_MB_CPos1;Samples
81_MB_BPos0;Samples
82_MB_ANeg0;Samples
85_MB_BPos1;Samples
86_MB_CNeg1;Samples
87_MB_BNeg2;Samples
88_MB_CPos1;Samples
89_MB_BNeg0;Samples
91_MB_CNeg1;Samples
92_MB_CPos0;Samples
93_MB_BNeg0;Samples
94_MB_ANeg0;Samples
95_MB_BNeg2;Samples
97_MB_ANeg2;Samples
98_MB_CPos1;Samples
99_MB_BNeg2;Samples
